Nome do Evento,Data,Localização,Imagem
CRAB OFICINA DE FELTRO/FUXICO - 19/12 - 13:30h,"QUI, 28 DEZ · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64daad7b8ad64-xs.jpg
Palestra Gratuita: Bioenergia e Pacificação íntima / Rio de Janeiro - RJ,"QUI, 18 JAN · 19:30","IIPC Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/645adc4c4e20f-xs.jpg
Aula Gratuita Curso Projeciologia / Rio de Janeiro - RJ,"SEG, 08 JAN · 13:00","IIPC Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/656fac59270f5-xs.png
EnergoLab+ - Laboratórios de Técnicas Energéticas Positivas / Rio de Janeiro - RJ,"QUI, 11 JAN · 19:30","IIPC Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/62aca19e72616-xs.jpg
Palestra Gratuita: Autoreeducação Evolutiva / Rio de Janeiro - RJ,"QUI, 04 JAN · 19:30","IIPC Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/657e59358d0e7-xs.jpg
CURSO DE PRIMEIROS SOCORROS COM NOÇÕES DE RESGATE,"14 DEZ
30 MAR","Av. Treze de Maio, 33 - Rio de Janeiro, RJ",https://images.sympla.com.br/6571e7572beeb-xs.jpg
CURSO DE ENERGIA SOLAR - SISTEMA HÍBRIDO (Março - 2024),"04 MAR
08 MAR","ESCOLA SEG - Rio de Janeiro, RJ",https://images.sympla.com.br/658b358e0a3d6-xs.png
Projeto Bolsas de Estudos Inglês e Espanhol Turístico CIETH,"12 MAR
30 ABR","Av. Treze de Maio, 33 - Rio de Janeiro, RJ",https://images.sympla.com.br/6571e54cd7042-xs.jpg
Garden of Harps - Festival Internacional de Harpaterapia (Arte e Ciência do Bem-Estar),"07 AGO
11 AGO","Uaná Etê Jardim Ecológico - Engenheiro Paulo de Frontin, RJ",https://images.sympla.com.br/650307439b46f-xs.jpg
FISIO REVOLUTION - RIO DE JANEIRO,"SAB, 02 MAR · 08:00","CENTRO METROPOLITANO - Rio de Janeiro, RJ",https://images.sympla.com.br/658581320c95c-xs.png
Workshop Neo Tradicional - Lucas Duarte,"SAB, 13 JAN · 09:00","Grifo Tattoo - Rio de Janeiro, RJ",https://images.sympla.com.br/65300f801973f-xs.jpg
PLANEJAMENTO PATRIMONIAL E SUCESSÓRIO E PROTEÇÃO PATRIMONIAL,"15 MAR
23 MAR","OAB-RJ - 20ª Subseção -Cabo Frio - Cabo Frio, RJ",https://images.sympla.com.br/655d117103b0a-xs.png
CRAB OFICINA DE FELTRO/FUXICO - 09/01/2024 - 09:00h,"TER, 09 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64daad7b8ad64-xs.jpg
CRAB OFICINA DE PINTURA - 08/01/2024 - 09:00h,"SEG, 08 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2cb8bbc854-xs.jpg
CRAB OFICINA DE PINTURA - 15/01/2024 - 13:30h,"SEG, 15 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2cb8bbc854-xs.jpg
CRAB OFICINA DE E.V.A. dia 18/01/2024 13:30h,"QUI, 18 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2dd274ffd5-xs.jpg
CRAB OFICINA de MACRAMÊ 26/01/2024 - 13:30h,"SEX, 26 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d28e2f337c2-xs.jpg
CRAB OFICINA BIJUTERIA - 31/01/2024 - 13:30h,"QUA, 31 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d42e9581679-xs.jpg
CRAB OFICINA DE FELTRO/FUXICO - 09/01/2024 - 13:30h,"TER, 09 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64daad7b8ad64-xs.jpg
CRAB OFICINA de BONECA - 11/01/2024 - 09:00h,"QUI, 11 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2894531666-xs.jpg
CRAB OFICINA DE FELTRO/FUXICO - 23/01/2024 - 09:00h,"TER, 23 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64daad7b8ad64-xs.jpg
CRAB OFICINA BIJUTERIA - 17/01/2024 - 13:30h,"QUA, 17 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d42e9581679-xs.jpg
CRAB OFICINA DE FELTRO/FUXICO - 23/01/2024 - 13:30h,"TER, 23 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64daad7b8ad64-xs.jpg
CRAB OFICINA DE PINTURA - 29/01/2024 - 13:30h,"SEG, 29 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2cb8bbc854-xs.jpg
CRAB OFICINA CROCHÊ - 19/01/2024 - 13:30h,"SEX, 19 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d42e9581679-xs.jpg
CRAB OFICINA DE PINTURA - 22/01/2024 - 13:30h,"SEG, 22 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2cb8bbc854-xs.jpg
CRAB OFICINA de BONECA - 25/01/2024 - 13:30h,"QUI, 25 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2894531666-xs.jpg
CRAB OFICINA de MACRAMÊ 12/01/2024 - 13:30h,"SEX, 12 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d28e2f337c2-xs.jpg
CRAB OFICINA BIJUTERIA - 31/01/2024 - 09:00h,"QUA, 31 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d42e9581679-xs.jpg
CRAB OFICINA de BONECA - 11/01/2024 - 13:30h,"QUI, 11 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2894531666-xs.jpg
CRAB OFICINA DE PINTURA - 22/01/2024 - 09:00h,"SEG, 22 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2cb8bbc854-xs.jpg
CRAB OFICINA DE E.V.A. dia 18/01/2024 09:00h,"QUI, 18 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2dd274ffd5-xs.jpg
CRAB OFICINA de BONECA - 25/01/2024 - 09:00h,"QUI, 25 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2894531666-xs.jpg
CRAB OFICINA DE PINTURA - 29/01/2024 - 09:00h,"SEG, 29 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2cb8bbc854-xs.jpg
CRAB OFICINA de MACRAMÊ 26/01/2024 - 09:00h,"SEX, 26 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d28e2f337c2-xs.jpg
CRAB OFICINA DE PINTURA - 08/01/2024 - 13:30h,"SEG, 08 JAN · 13:30","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2cb8bbc854-xs.jpg
CRAB OFICINA BIJUTERIA - 17/01/2024 - 09:00h,"QUA, 17 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d42e9581679-xs.jpg
CRAB OFICINA de MACRAMÊ 12/01/2024 - 09:00h,"SEX, 12 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d28e2f337c2-xs.jpg
CRAB OFICINA CROCHÊ - 19/01/2024 - 09:00h,"SEX, 19 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d42e9581679-xs.jpg
CRAB OFICINA DE PINTURA - 15/01/2024 - 09:00h,"SEG, 15 JAN · 09:00","Ela Shopping - Duque de Caxias, RJ",https://images.sympla.com.br/64d2cb8bbc854-xs.jpg
Tratamento de Feridas pelo Fisioterapeuta: do diagnóstico ao desbridamento.,"SAB, 03 FEV · 09:00","Centro Cultural CREFITO2 - Rio de Janeiro, RJ",https://images.sympla.com.br/6582ffe7ac32a-xs.png
Treinamento Técnico Inteligência de Vídeo em Câmeras IP,"SEX, 19 JAN · 09:00","SDE Distribuidora - PENHA (Nova Unidade / CD) - Rio de Janeiro, RJ",https://images.sympla.com.br/6585c96dda0d9-xs.png
Treinamento Técnico Comunicação Condominial IP,"TER, 23 JAN · 10:00","SDE Distribuidora - PENHA (Nova Unidade / CD) - Rio de Janeiro, RJ",https://images.sympla.com.br/6585cc956a9c2-xs.png
Curso de Recrutamento e Seleção na Prática,"QUA, 10 JAN · 08:00","Edifício Office 3000 - Shopping Nova América/RJ - Rio de Janeiro, RJ",https://images.sympla.com.br/6583419a265b9-xs.png
CURSO DE ENERGIA SOLAR - SISTEMA ON GRID (Fevereiro - 2024),"20 FEV
01 MAR","ESCOLA SEG - Rio de Janeiro, RJ",https://images.sympla.com.br/658b32f567da5-xs.png
Curso Presencial - Velas Perfumadas e Luminárias Decorativas,"11 JAN
12 JAN","Green Hotéis - Cabo Frio, RJ",https://images.sympla.com.br/64307a406c0d6-xs.png
Desperte o seu verdadeiro potencial: Cerimônia do Voto Bodhisattva,"DOM, 28 JAN · 15:00","Centro de Meditação Kadampa Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6579c875db992-xs.jpg
Projeto NaturalMente Tartaruga - Terça-feira,"30 NOV
30 DEZ","Praia da Tartaruga - Rio das Ostras, RJ",https://images.sympla.com.br/6561ebb6ac33e-xs.png
Projeto NaturalMente Tartaruga - Quinta-feira,"14 DEZ
09 MAR","Praia da Tartaruga - Rio das Ostras, RJ",https://images.sympla.com.br/6561ebb6ac33e-xs.png
DESINTOXICAÇÃO CEREBRAL (PASSO A PASSO),"DOM, 31 DEZ · 20:00","O evento será online - Resende - Resende, RJ",https://images.sympla.com.br/65385dac950eb-xs.png
A ARTE DO ESTOICISMO - MAESTRIA EMOCIONAL (COM CERTIFICAÇÃO),"QUA, 27 DEZ · 20:00","O evento será online - Campos dos Goytacazes - Campos dos Goytacazes, RJ",https://images.sympla.com.br/644c561a8ec46-xs.png
GESTÃO DO TEMPO E PRODUTIVIDADE - (APRENDA COMO GOVERNAR NO TEMPO),"SAB, 30 DEZ · 09:30","O evento será online - Campos dos Goytacazes - Campos dos Goytacazes, RJ",https://images.sympla.com.br/653974626afb7-xs.png
PNL - PROGRAMAÇÃO NEUROLINGUÍSTICA (COM CERTIFICAÇÃO),"QUI, 28 DEZ · 20:00","O evento será online - Nova Iguaçu - Nova Iguaçu, RJ",https://images.sympla.com.br/653fd557729f3-xs.png
