Nome do Evento,Data,Localização,Imagem
Seja Breve - Stand-up Comedy,"SEX, 12 JAN · 19:30","Experience Music - Rio de Janeiro, RJ",https://images.sympla.com.br/6585ad6506f02-xs.png
Até a Última PIADA - Stand Up Comedy,"QUI, 18 JAN · 22:00","Experience Music - Rio de Janeiro, RJ",https://images.sympla.com.br/65887223116ec-xs.png
CINDERELA,"DOM, 28 JAN · 17:00","Teatro Joel Barcellos | Rio das Ostras - Rio das Ostras, RJ",https://images.sympla.com.br/65848014d0d23-xs.png
"Belchior, Sujeito de Sorte","DOM, 07 JAN · 19:30","Teatro Brigitte Blair - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/3s0csteq3e6391rov98tmddvv0dc29r5shpi2if3rbtd39rgb69gbjqrj7ljl1bqtruq8pe3dcetr2fk2lpk13vro41oqvh9uirt458.webp
A CIGARRA E A FORMIGA - O MUSICAL,"14 JAN
04 FEV","Cine Teatro - Teatros da Barra - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/3mn13veg8ek1oato8cinaqvm2lfcj6a856s2c7hkt8f13ln9qfsffdjvodff4gs2bk2j0ob9i6lrknd1tajmt72nd7ivhaderb1ibng.jpeg
Rio Noites Rocinantes Bernardo Ramos Trio,"QUA, 31 JAN · 20:00","Teatro Brigitte Blair - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/r024qm7sgq5ijfgef06e8juedcf0v1al7kiol2tr1fgsdq8d8bcopcr8g65ojiqigv8cpnortjak24k5nasmuo8lg9vnrcgtf5reo1.jpeg
Morreu! Mas passa bem,"DOM, 28 JAN · 19:30","Teatro Brigitte Blair - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/1rjb0burjrn0qgq8g19629v5u204blktfl9jtr2a45ea1f3aea7h8pf8gc3kjhqv9mikjgrm1mgcb8h3g0jk6ah6k1qnu33550ih7nc.webp
Festa da Comédia Carioca apresenta: HELOISA PÉRISSÉ em 'A Iluminada',"SEX, 12 JAN · 20:00","Teatro PRIO - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/2qth9a8c09ecq9slssbfkda3jq2601mhjbiv18r55aa8u5e7t2jvu8nknpgejdpkq7tj99mrupehipth143savqpdrfqjq9rd5rrns8.jpeg
Rio Summer Comedy,"05 JAN
04 FEV","Teatro Multiplan - VillageMall - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/12cmcsano3dgsgs146pm2ov6j5r0b44khej25n35aml2s98dkgm54ubdcq15mf5flc0a207gu6d3lik7t66ont61ti0s67g017blrp3.jpeg
As Crianças,"09 JAN
21 FEV","Teatro Poeira - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/3hb7ulslfv3vkfj5b0dq2tdidr7ic72oi0oeam6ti89pcunrb3d37gp4aj4ehiul19l4oora411su0qvfs9v7o6o7udsrs240lr77is.webp
É TUDO CULPA DA MÃE,"14 JAN
04 FEV","Cine Teatro - Teatros da Barra - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/18t0aj59vrkqmecddnn7pcpbvf5bpv9p4coliqqdfkvvfmtco1qohr3rm0f70lrd5tjuvjs7nlkg5hp2m1m8aoaqck242t1lkauikds.jpeg
Rio Noites Rocinantes Thiago Amud,"QUA, 10 JAN · 20:00","Teatro Brigitte Blair - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/3b74f2ebm8adut1rgs4ic1ij37ut9kgulcbnfkbm28o1ogb3el2i0hk7lt716qot9qsttfe6066d4lm791kqdjpcjq2605qfpu0ce88.jpeg
CRISE DOS 7,"13 JAN
04 FEV","Cine Teatro - Teatros da Barra - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/3rqkm0sud0tkdtfgodovrkth19f412ulsov5u61npelvljj8soirksr97gmrekg97aefhqmq5ct25f8bk9rbf7d4j4rmobk0dg60rp5.webp
Van Gogh Entre Corvos,"09 JAN
27 MAR","Teatro Poeira - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/15tp4c603ag5mgfl7l01l6s5kjc99u4fh5rpa28igctlb537v2ut1he39oopdenvh8qtf584pjcuml4qkdtg85b06olgebsoknfdr5t.jpeg
Festa da Comédia Carioca apresenta: AS METADES DA LARANJA,"18 JAN
01 FEV","Teatro PRIO - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/7mtc5dcmea0kvc3slclvrtd39g1tlm6q3eds21m2ovbfid6qmhk7u731t0nbn6doajmes8v3e8hsaqc67e7l7codngb878lbkvam0k.jpeg
MEU AMIGO EXTRATERRESTRE,"13 JAN
04 FEV","Del'Art - Teatros da Barra - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/1tfqp1vim0tfj5rlfo449bilj4s08rggv932ud9tjkatrgbdqf94vvr3q1ikt6vl9oms7466rmvhbmb93he6pcgb33pd8v5a4k0kvnv.jpeg
Guilherme Isnard ZERØ,"SAB, 20 JAN · 20:30","Teatro Brigitte Blair - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/18t9p89n1jrql1ft5e09q5spdbigt5u1639s6ptqkcqqavkf6fsk4llq7t35si9lvktb23q8mgl79dmhg1pc5lce80f15nj4o7m1itf.webp
"NU’ZS Duo - Chico Buarque - Um Outro Olhar, EM NITERÓI.","SEX, 26 JAN · 20:00","Teatro Eduardo Kraichete - Niterói, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/3s284d7s81lnnfedtre0ium3tg7c5fsgsoh08tjbrjn6i3hifpb5tr3ffj54lr4tsb4d2ud24hq425t6592ufnf09lt4vt5vhktru1r.webp
CARIOCAOS - RIO 40 GRAUS! ESPECIAL DE VERÃO,"DOM, 28 JAN · 20:00","Del'Art - Teatros da Barra - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/2ggsmilamrti3efdoq0g2kt18ef4dubba2t900g8l9r82i60ordpv5is84d1ehqhpms454ottnonssvqfhis0n13tghkqvhv8rlgnnt.jpeg
Festa da Comédia Carioca apresenta: GRACE GIANOUKAS em 'Nasci Pra Ser Dercy',"19 JAN
21 JAN","Teatro PRIO - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/1vscpl4s7v1lgt85b27mo0k6f5jljk6o7spl44duhh9oehkprmap0fcf45agrkvq5emsnstbcbeehvlghlfvnm1keq720ldp0ps6e88.jpeg
Festa da Comédia Carioca apresenta: ERI JOHNSON em Eri Pinta Johnson Borda,"26 JAN
28 JAN","Teatro PRIO - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/1133feuhpfktv9olqis5oabsi8fdoo8vnk7pkj2mnlcap5nb0hu5shjr5pc56o87bkgmt0ggvrl4d0atd76a1k165e61jf1smfakm80.webp
Rio Noites Rocinantes Érika Ribeiro,"QUA, 24 JAN · 20:00","Teatro Brigitte Blair - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/3m4vedim3bl3e90rclu3rgncugv4q7fhkjkf08aa0ucqptsj0oae6onodlug7kqngak4nt8plg6d43mujleend54a7pri3vt1bjia6v.jpeg
Cezar Guerreiro & Moisés Pedrosa,"TER, 23 JAN · 20:00","Teatro Brigitte Blair - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/397c91p0kgd4k30t6rh12mqdqp87frp8bjc7f2r1uotot1t2gq9bgssp76n01p489r9uk7rk82cja0mt22tsm3a1l3hcc5qc53kd814.jpeg
